StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1100|Retail cuts, ground|Farm direct, CSA, online|NULL|NULL|NULL|NULL|Yes|They say: “Eight Mile Creek Farm believes that through diversification of both plant and animal species, we have created, and continue to improve on, a sustainable system that works to produce healthy food for our community and which leaves our environment in a better state of health. Established in 2005, Eight Mile Creek Farm sits upon 223 acres (plus 120 acres leased for hay production) tucked away on a dirt road in Westerlo, NY in the Heldeberg Hilltowns. The house and barns were originally built in 1835. From that time until the 1950’s it was a working family farm, transitioning into low-scale agricultural production for hay in the mid-1950’s. Pam set out to restore the land as a productive working farm in 2005 by building a diversified agricultural business. She has obtained, and maintains, the farm’s annual organic certification, providing customers with the healthiest products available. Additionally, Pam works hard to protect and nurture the natural resources that their farm depends on for survival. She raises certified organic grass-fed beef, pork, chicken and pastured eggs year-round and the animals receive no growth hormones, antibiotics or medications.” This farm is certified by theReal Organic Project: |Eight Mile Creek Farm^_
5|1100|Retail cuts, jerky, wholesale, hot dogs|Online, shipped|NULL|NULL|NULL|NULL|Yes|Alderspring Ranch is certified by the Real Organic Project, which ensures they are exceeding the minimum set by the organic standards. Their products can be purchased online and shipped to customers. They say: “…We produce our grass fed organic beef right here on our Idaho pastures. We’re a true family ranch, and are committed to regenerating the land, giving our animals the best life possible, and providing you with exceptionally clean, great-tasting beef. We’re not a big corporation, and we don’t source our beef from random different suppliers. When you order from us, you get beef raised by us, on our ranch.” This farm is certified by theReal Organic Project: |Alderspring Ranch^_
5|1090|Retail cuts, ground, organs|Locally in WI, farmers market, farm direct|NULL|NULL|NULL|NULL|Yes|Certified Organic since 1997, Wheatfield Hill Organics is a small, diversified 5th generation family farm located in West-Central Wisconsin. The farm goes above and beyond to support the organic label. Much of their beef is sold through the Organic Prairie (CROPP co-operative), but some of their high quality beef can be acquired locally. For more information on Wheatfield Hill Beef, see ourfarmer spotlight. This farm is certified by theReal Organic Project: |Wheatfield Hill Beef^_
5|1090|Retail cuts, veal|Unknown|NULL|NULL|NULL|NULL|Yes|They say: “At Misty Brook Farm we take responsibility for our animals from birth. We operate a mixed livestock farm with dairy cows, dairy sheep, swine, and chickens. A portion of our Jersey dairy cows are bred to a Hereford bull and the calves are raised for beef. We also raise our Jersey bull calves for veal. Every life has a purpose on this farm and all of our calves (dairy, beef, & veal) are raised on mother cows out on pasture. We use multi species grazing to promote soil health. All aspects of our farm work together to create a healthy farm ecosystem.” This farm is certified by theReal Organic Project: |Misty Brook Farm^_
5|1090|Retail cuts, veal, ground, half, quarter|Locally in NY, locally in PA, online, farm direct|NULL|NULL|NULL|NULL|Yes|Engelbert Farm Products are available in many of the local Health Food stores, found at Wineries, Cideries, and Breweries, local CSA’s and other Farm stores and Buying Clubs as well as served in many local restaurants, including Greenstar Co-operative market in Ithaca, NY. For a complete list of retailers, check out this list: https://engelbertfarms.com/in-stores-and-venues.html. Engelbert Farms is also ahighly rated organic dairy! This farm is certified by theReal Organic Project: |Engelbert Farms^_
5|1085|Retail cuts, ground, whole, half, quarter|Online, locally in TX|NULL|NULL|NULL|NULL|Yes|NOTE: This high rating farm cannot get access to an organic processor their finished/packaged products cannot be sold as “certified organic,” though the animals are certified up until that point. This farm delivers at no charge in San Antonio and Austin, TX, and if demand picks up could also deliver in Dallas TX. They also ship to other states via their website. They write: “We are a small family-operated farm in Central Texas. We began operations in 2013 and strive to provide a diverse group of wholesome products. We do not believe in use of pesticides, hormones, antibiotics for promotion of growth, and similar pollution of our food. Synthetic fertilizers provide a “quick fix” for growth of plants, but damage the soil in the long term. There are many natural ways to build up soil so that its productivity is on part with or is close to that of industrial growth methods that use synthetic chemicals extensively. Antibiotics for treatment of manifest illness is of course the humane course, but animals so treated cannot then be passed on to our customers. We believe that illness in the animals and plants will be minimized by providing a healthy, natural environment for them.” This farm is certified by theReal Organic Project: |Leafy Creek Farm^_
5|1085|Retail cuts|Locally in Adamstown, MD, farm direct|NULL|NULL|NULL|NULL|Yes|NOTE: We’ve confirmed this producer is high quality, but due to difficulties finding organic processing the final meat product cannot be certified organic. Up until the point of slaughter Nick’s animals are certified organic. This farm is certified by theReal Organic Project: |Nick's Organic Farm^_
5|1080|Retail cuts|Farm direct|NULL|NULL|NULL|NULL|Yes|You can find Windy N Ranch’s beef at local farmers markets and directly from their farm. Their beef can be found at these farmers markets: Bellevue Farmers Market, Mercer Island Farmer Markets, Issaquah Farmers Market, Madrona Farmers Market, Roslyn Farmers Market.|Windy N Ranch^_
5|1080|Retail cuts, ground, whole, half|Locally in WI, farm store, online|NULL|NULL|NULL|NULL|Yes|They write: “Here, cows graze on perennial pastures of clover, grasses and other plants. They are rotationally grazed, which means that they are given full, fresh pasture every day in blocks. This promotes the best health for the pasture and the cattle. The bacteria in a cow’s gut is adapted to break down the cellulose in green plants. If fed grains (like corn, fed to 97% of the cows out there), a large part of the normal bacteria die and have to be slowly replaced with ones that are unnatural to them. This in turn negatively affects the cow’s health. Grain also has a much higher percentage of Omega 6 fatty acids than pasture, which is high in Omega-3s, a good fat that Americans are lacking in their heavy grain diet. Most Americans eat both starch heavy and meat heavy diets with very few fresh fruits and veggies. Think about it, a processed diet double doses on the grain, both a direct dose, and the one that we get through the grain eating animal that is the meat.” This farm is certified by theReal Organic Project: |Full Circle Community Farm^_
5|1065|Retail cuts|Farm direct, locally in OR, CSA|NULL|NULL|NULL|NULL|Yes|Sublime Organics, LLC is a diversified organic farm that sells their products at farmers markets, a CSA, and local stores and restaurants. They say: “We raise Muskovy ducks for meat and eggs, and Boer goats, Katahdin sheep, and grass-fed beef for high-quality meat. Our goal is to raise livestock in a humane and ecologically sustainable manner and add diversity to our farming practices while supporting biodynamic principles.” This farm is certified by theReal Organic Project: |Sublime Organics^_
