StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_NULL|700|NULL|NULL|100% certified organic|NULL|Two Moms in the Raw|Independent|NULL|Two Moms in the Raw produces only certified organic products. Certified organic products, unlike those labeled “natural,” are required by law to be produced without the use of toxic pesticides, synthetic fertilizers, genetically engineered ingredients and toxic solvents.|Two Moms in the Raw^_
NULL|700|NULL|NULL|100% certified organic|NULL|Country Choice Organic|Independent|NULL|All Country Choice Organic products are certified organic. They write: “Country Choice Organic was founded in 1995 with the notion to make it easier for people to eat organic. Although organic products were available back then, they were harder to find, expensive and most importantly, not very tasty. Having that in mind, the founders of Country Choice set out to provide organic food products that people could enjoy and feel good about choosing without having compromise on taste. By providing only certfied organic products with the finest of ingredients, Country Choice Organic has become a leader in the organic foods industry. The popular oatmeal, snacks and cookies are great-tasting and are made with a minimum of 95% organic ingredients, qualifying for the USDA Organic seal. The company is founded on the idea of providing tasty and nutritious organic treats, while being responsible about how certain ingredients and farming processes affect the Earth at large. Committed to the environmental benefits of sustainable agriculture and organic farming practices. Recognizes and supports the family farm as an important cultural and business asset that should be protected as a chosen lifestyle. Strives to conduct business with integrity and ethical behavior, keeping in mind that the customer is the most important business partner.”|Country Choice Organic^_
NULL|700|NULL|NULL|100% certified organic|NULL|Ambrosial Organic Inc.|Independent|NULL|They write, “Ambrosial Granola has been committed to organic and wholesome foods since its inception, when in the ’80s, it was a home recipe nourishing our family. With the same motherly care, applying the highest organic standards, we craft our granola and muesli today. Our customers and their families deserve to put on their table the same quality as our family does. We firmly believe that organic food is the only food in its natural state; unadulterated, nourishing and delicious! One of our goals as a company is to offer only the best and most nutritious foods. That means we are selecting very carefully our organic ingredients not only for delicious taste, but also for their nutrients. We have rejected using oils (e.g. canola) and refined sweeteners, present in the majority of granolas and mueslis in the market. Main source of sweetness are the dry organic fruits in abundance in all Ambrosial Granola & Muesli flavors. We are very proud that Prevention recognized our quality and voted us as the Healthiest Cereal 2011. In addition to the health benefits, we also believe that good food begins with environmentally sustainable farming, that is organic farming. Organic food is not only better for the environment, and the people’s tables, but also supports small family operations and helps the family farm and the rural community survive. If we all remember the old Native American saying that “we don’t inherit the earth from our ancestors, we borrow it from our children”, we will intensify our efforts to protect it and leave it better than we found it.”|Ambrosial^_
NULL|700|NULL|NULL|100% certified organic|NULL|Grandy Oats|Independent|NULL|Grandy Oats is an independently owned, 100% organic granola company founded in 1979 and based in Brownfield, Maine. With 15 employees, the company makes granola in a 100-year-old dairy barn that was renovated and converted, meeting hygienic standards, to a granola bakery. Its granola products are available primarily on the East Coast, but also in some stores as far west as Minnesota. Grandy Oats produces only certified organic products. Certified organic products, unlike those labeled “natural,” are required by law to be produced without the use of toxic pesticides, synthetic fertilizers, genetically engineered ingredients and toxic solvents. Grandy Oats uses only organic ingredients “because we believe we are making our world a better place by using food that was grown in a sustainable way,” says co-owner Nat Peirce.|Grandy Oats^_
NULL|700|NULL|NULL|100% certified organic|NULL|Tierra Farm|Independent|NULL|Tierra Farm is an independent company that offers a certified organic granola product. The company produces only certified organic products. Certified organic products, unlike those labeled “natural,” are required by law to be produced without the use of toxic pesticides, synthetic fertilizers, genetically engineered ingredients and toxic solvents. They write: Tierra Farm is a small, privately-owned, certified organic producer and roasting company in upstate New York. We maintain a diversified organic vegetable farm in the Finger Lakes region of New York state, but specialize in nut and seed roasting and dried fruits. At Tierra Farm, we strive for A+ quality in all of our products. As true believers in organic foods as a way to nurture the land and the body, we only handle and sell certified organic products — and we make no exceptions! All of our roasting, mixing and flavoring is conducted in-house, at our certified organic, peanut-free roasting and processing facility. The nut, seed and dried fruit portion of the business was originally an attempt to create a source of income for the winter. That winter job has become a thriving year-around business, thanks to our tasty product selection and a reliable and energetic staff with an eye for quality.|Tierra Farm^_
NULL|700|NULL|NULL|100% certified organic|NULL|One Degree|Independent|NULL|NULL|One Degree^_
NULL|700|NULL|NULL|100% certified organic|NULL|Lydia's Organics|Independent|NULL|Lydia’s Organics, an independent company based in California, was founded in 2001. Its organic granola is made by hand in Marin County and is available nationwide. Ingredients such as buckwheat and sunflower seeds are sprouted to release enzymes and make them more digestible, then tossed with other ingredients and dehydrated, making a raw product. In addition to sourcing exclusively from organic farmers, Lydia’s Organics sources locally when possible. The company is 100% organic because “We are committed to healing the planet and to providing food that is truly healthy,” says founder Lydia Kindheart.|Lydia's Organics^_
NULL|700|NULL|NULL|100% certified organic|NULL|Farm to Table Foods, Inc.|Independent|NULL|They write, “Farm to Table is an organic food company that provides real and earnest food offerings to customers hungry for products that do more than just pay lip service to the organic food movement. We are people who believe in traditional farming methods. We reject the notion that big agri-business is the only way to feed a community, and at every opportunity, we attempt to give back to the earth as well as to those farmers who work our earth in order to feed and nourish us. Our craft blended whole grain and oatmeal products not only contain wholesome ingredients, but they are artfully blended to appeal to a chef’s palate. Plainly speaking, you will find no better oatmeal in the world.”|Farm to Table^_
NULL|700|NULL|NULL|100% certified organic|NULL|Pure Bliss Organics||NULL|They write, “Our customers are our family and we want them to be nourished and blissfully satisfied. We make distinct, high quality products using traditional methods, by hand in small batches. We don’t cut corners and you can taste the difference.”|Pure Bliss Organics^_
NULL|700|NULL|NULL|100% certified organic|NULL|Freeland Foods|Independent|NULL|Freeland Foods makes Go Raw© granola. The company, based in Mountain View, California, is dedicated to making only 100% organic foods that are sprouted and dehydrated, creating products that truly are minimally processed and raw. The company’s commitment to sustainability is evidenced not only by its use of 100% organic ingredients, but also by its solar-powered production facility, and its switch to biodegradable packaging.|Go Raw^_
NULL|700|NULL|NULL|100% certified organic|NULL|Kaia Foods|Independent|NULL|They write: “Kaia foods was founded with the belief that our health is best supported by eating an abundance of minimally processed whole foods. We sprout, mix and dehydrate our organic foods at low temperatures so that they remain ‘raw.’ No baking, frying, bleaching, or weird processing steps! Keep it simple. That’s our philosophy towards food and our philosophy towards life. Eat whole foods for great health. Exercise daily. Laugh and smile often. Hug everyone. Be mindful of your choices and their impact on the earth. The keys to health and happiness are really that simple. As part of our mission to improve quality of life through proper nutrition we invest a portion of sales in fighting hunger. We currently donate to The Hunger Project and to the United Nations World Food Program. Our organic buckwheat granola is made with sprouted buckwheat, sprouted walnuts, sprouted sunflower seeds, sprouted pumpkin seeds, coconut, ground flax seeds, and agave nectar, plus dried fruits and seasonings – our innovative buckwheat granola is delicious as a snack or as a cereal!”|Kaia^_
