StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1745|Fluid milk|IA|NULL|NULL|NULL|NULL|NULL|Operated by Francis Thicke, a widely respected pioneering organic dairy producer, and his wife Susan, this truly sustainable farm markets in a very intimate geographic area. Its connection with the marketplace truly exemplifies the organic ideal. They write: “Radiance Dairy is an organic, grass-based dairy located near Fairfield, Iowa, with on-farm processing facilities in which cream-line milk (whole, 2%, and skim), whipping cream, yogurt, and cheese are produced. All of the products made on the farm are sold locally through three grocery stores and about twenty restaurants in Fairfield. All of our dairy products are sold within a five-mile radius of the farm. All milk produced on the farm is processed by Radiance Dairy, and no milk is brought onto the farm from other dairies. Radiance Dairy began in 1980 with two cows. Over the years it has grown to the current milking herd of 90 cows. Owned by Francis and Susan Thicke, it is operated by them and several employees.” For more information on Radiance Dairy, see ourfarmer spotlight. This farm is certified by theReal Organic Project: |Radiance Dairy^_
5|1720|Cheese, fluid milk, raw milk|ID, Web Sales|NULL|NULL|NULL|NULL|NULL|This brand can be found in Eastern Idaho, and nationwide via web sales. They write: “We grow all of the food for the cows on our nearly 420 acre certified organic farm in Teton Valley, Idaho, including pasture, hay, and barley. Only rarely are off-farm inputs required; when things like extra bedding are needed, they are sourced locally from another organic farm. Our irrigation water emerges in the form of Paradise Springs, from the bottom of a hillside adjacent to thousands of acres of National Forest and is pure enough to drink right out of the spring. Every effort has been made to retain nature’s purity and goodness and to block out the constant increase of radiation and chemicals in the environment. This is how we have become a certified biodynamic farm in Idaho producing raw cheese, raw milk, and raw whey from the happiest Brown Swiss cows around.” Read ourFarmer Spotlighton Paradise Springs. This farm is certified by theReal Organic Project: |Paradise Springs Farm^_
5|1680|Yogurt, grassfed|PA|NULL|NULL|NULL|NULL|NULL|NULL|SpringWood Organic Farm^_
5|1665|Cheese, fluid milk, yogurt|Chewelah, Bluecreek, WA|NULL|NULL|NULL|NULL|NULL|For more information on Clover Mountain, see ourcover storyin the Summer 2022 edition of The Cultivator This farm is certified by theReal Organic Project: |Clover Mountain^_
5|1650|Cheese, yogurt|MA, NY, VT|NULL|NULL|NULL|NULL|NULL|They write: “Berle Farm has a twenty year history of diversified farming. The farm has evolved to a low outside input style with a beautiful little dairy herd of 10 cows. Our organic cattle graze 400 hundred acres of pasture. We grow open pollinated, saved seed corn, oats, rye and hay, as well as, vegetables and fruit.”|Berle Farm^_
5|1635|Cheese|NY|NULL|NULL|NULL|NULL|NULL|Engelbert Farm Products are available in many of the local Health Food stores, found at Wineries, Cideries, and Breweries, local CSA’s and other Farm stores and Buying Clubs as well as served in many local restaurants, including Greenstar Co-operative market in Ithaca, NY. For a complete list of retailers, check out this list: https://engelbertfarms.com/in-stores-and-venues.html. Engelbert Farms is also ahighly rated organic beef producer! This farm is certified by theReal Organic Project: |Engelbert Farms^_
5|1630|Cheese, fluid milk, raw milk, yogurt, vat pasteurized, A2 breeds|East|NULL|NULL|NULL|NULL|NULL|They write: “At Hawthorne Valley Farm, we’ve been dedicated to producing high quality food for more than 35 years. Our biodynamic farming practices reflect our commitment to protecting the health of the earth and all who live on it, and our education and outreach programs strive to raise awareness of the social, ecological, and economic importance of agriculture in our daily lives. Our vision statement reads, “nurturing the land that nurtures us” and we take this statement seriously. Our goals are: to establish a true Biodynamic Farm; to connect children and adults with the land and the food that nourishes them; and to provide agricultural products of the highest quality. Through the farm’s products, we hope to open an educational dialogue about our environment, our economy, and ourselves.” This farm is certified by theReal Organic Project: |Hawthorne Valley Farm^_
5|1610|Butter, cream, fluid milk, vat pasteurized, grassfed|AL|NULL|NULL|NULL|NULL|NULL|Working Cows Dairy has tested a significant percentage of their cows for A2 milk but does not have a 100% A2 milk herd. They vat pasteurize their products (at a low temperature). They write: “In 1985, we, Jan and Rinske de Jong, came to the land of opportunity with a dream to start a dairy of our own. We started “Working Cows Dairy” in October 1985. We milked 180 cows for a dairy farmer in Cottondale Florida and for that we could use his barn and 40 acres. We leased 55 cows, with the $5,000 we had saved in Holland, and started milking about 20 hours a day. In the spring of 1986 Jan planted watermelons on part of the land and had a fruit stand on Hwy 231. We stayed on this place for 2 years and left with 29 cows to a rented place in Grand-Ridge Florida. There we had three boys Jonny, Mendy, and Ike. We worked our way up from 29 cows to 220 cows four years later. We moved again to the place we are now located in June 1991. We do not homogenize our milk so the cream still comes to the top.  We sell Whole, 2%, 1%, and Fat Free all in gallons and half gallons.  We have half gallons of cream and chocolate milk too.  Please visit our website for more information on our family farm.”|Working Cows Dairy^_
5|1595|Fluid milk, raw milk, A2 milk|PA, web sales|NULL|NULL|NULL|NULL|NULL|They write: “The Family Cow is a certified organic, grass based, PA Department of Agriculture (PDA) permitted, raw milk dairy. The farm is situated on 122 acres of certified organic pastures. The farm’s 75 Jersey milk cows are rotationally grazed 8 months out of the year. An additional 300 acres of organic land is farmed to assure an abundance or high quality organic stored grasses to grass-feed the cows during the winter.  The dairy is owned and operated by Edwin and Dawn Shank and their 6 children and has been continuously owned and farmed by the family for 5 generations and close to 100 years. The Family Cow is dedicated to extremely safe raw milk. A web-based monitoring system, ProAct, is used to assure that all critical points of the food safety RAMP are under control.  The Family Cow may be the only raw milk dairy in the USA with this level of control to monitor, record and alert for food safety issues.The Shank family also pioneers with an on-farm raw milk laboratory. The laboratory gives The Family Cow the unique ability to establish a test-and-hold protocol for every single lot of  raw milk. This assures that each bottling of The Family Cow raw milk falls within the coliform and APC standards for low risk foods as defined by USA food safety experts.” In early 2018 the Pennsylvania Association for Sustainable Agriculture (PASA) announced that the The Family Cow was a 2018 recipient of their PASAbilities Award that honors businesses and individuals making meaningful contributions to sustainable agriculture in the state and beyond. The awards was presented at PASA’s 27th Annual Farming for the Future Conference, held in State College, PA on February 7 through 10. This brand’s products can be found at farm stores and drop-off sites throughout Pennsylvania (check the listed website for details on how to obtain their products).|The Family Cow^_
5|1590|Cheese|PA, FL, web sales|NULL|NULL|NULL|NULL|NULL|They write: “Here at Alpine Heritage Creamery we use only raw organic milk from 100% grass fed cows. Our herd is currently 100% A2-A2. The cows are part of the family here on the farm and we care for them as such. With each of them receiving a personal name at birth they quickly learn that life is enjoyable and there is so much to do in the lifetime of a cow. Things such as exploring every corner of these vast luscious meadows with their friends and playing their “calf tag” games immediately become a part of their daily routine. They truly are a happy family. The cows come into the barn twice a day for milking and that is the milk we use to make our cheese. With the creamery being located here on the farm we have full control over the process beginning from the cows’ diet, the milking process and then the producing and ripening of a healthy, delicious cheese that will always have you coming back for more! The ingredients for all our cheeses are simple: Milk, cheese cultures, traditional rennet and pure salt. We use organic seasonings for the flavored cheeses.”|Alpine Heritage Creamery^_
5|1585|Fluid milk|Maine|NULL|NULL|NULL|NULL|NULL|This farm is certified by theReal Organic Project: |The Milkhouse^_
5|1580|Fluid milk, yogurt, cheese|NY|NULL|NULL|NULL|NULL|NULL|Chaseholm Farm is a sibling effort in family farming. Sarah manages the dairy herd and their grazing lands, while Rory turns the milk the cows produce into delicious cheeses. We are third generation farmers whose relationship to the land is built on principles of sustainable agriculture. Sarah had been involved with the day to day operations on this farm since childhood and took over in her own right in March of 2013. It was then that she began the years long process of transitioning the farm to organic management and grass based production. The principles of grass farming require that the farm system be thought about in a holistic way. We work to create active and healthy soil microbiology so that soil can support healthy plants that can be grazed by cows. How do we assist in creating active soil microbiology? By grazing cows! It’s a complex and also delightfully simple cycle (no herbicides, pesticides or synthetic fertilizers!). Sarah stopped feeding grain in 2015. The farm was certified Organic and 100% Grass-Fed in 2017. The original motivation for raising dairy animals on an all-grass diet was to try and reduce inputs and longterm expense. With each transition season, Sarah’s perspective has deepened into an appreciation of the complex management puzzle grassfed farming presents – and the lifetime of learning – in front of her. She is working towards selecting for bovine genetics compatible with her management system and the building of vibrant, productive soils. The farm is guided by Holistic Management decision making principles in both farm system and business management. For more information on Chaseholm Farm, see ourfarmer spotlight. This farm is certified by theReal Organic Project: |Chaseholm Farm^_
5|1575|Cheese, fluid milk|MA|NULL|NULL|NULL|NULL|NULL|Chase Hill Farm is a small family farm located in the hills of western Massachusetts near the Vermont-New Hampshire border. This farm produces high quality milk, cheese, and meat from grassfed animals.|Chase Hill Farm^_
5|1571|Fluid milk, biodynamic|East, Southeast, Midwest|NULL|NULL|NULL|NULL|NULL|Read Cornucopia’sSeven Stars Farmprofile in our “Organic Innovators: Top-Rated Farmers You Can Trust”Dairy Campaign. Note that the Seven Stars home farm is certified Biodynamic, but their yogurt is made with help of certified organic milk from their organic partner farms. This makes the final product certified organic, but not certified Biodynamic.|Seven Stars Farm^_
5|1565|Fluid milk, raw milk|PA|NULL|NULL|NULL|NULL|NULL|Camphill Village Kimberton Hills’ biodynamic raw milk dairy farm is comprised of mixed pasture, hay and arable land. Located 50 minutes outside of Philadelphia, the dairy sits on 250 acres of their 432-acre Kimberton, Pennsylvania farm. Their crew of up to 10 farmers includes villagers, coworkers, and service volunteers, who form a close-knit team working together to meet the needs of the farm and animals. This brand’s products can be found in Pennsylvania in some grocery chains and small natural foods stores.|Camphill Village Kimberton Hills Dairy^_
5|1560|Fluid milk|VT|NULL|NULL|NULL|NULL|NULL|Lisa McCrory and Carl Russell operate Earthwise Farm and Forest, a certified Organic draft-animal powered diversified family farm located on 150 acres in Bethel, Vermont. They produce and sell certified organic garlic, potatoes, raw milk, flowers, herbs, perennials, and poultry (chicken and heritage turkey).  For more information about this farm, see their about us page: https://www.earthwisefarmandforest.com/copy-of-our-story This farm is certified by theReal Organic Project: |Earthwise Farm and Forest Dairy^_
5|1555|Yogurt, A2 milk|VT, NH|NULL|NULL|NULL|NULL|NULL|Jack and Anne Lazor are two longtime heroes in the organic farming community. In addition to manufacturing Vermont’s “most popular yogurt,”for decades, they’ve helped educate younger farmers and dairy producers transitioning to organic. They write: “Butterworks Farm is a real farm, located in the mountains of Vermont’s pristine and unspoiled Northeast Kingdom. We are unique among New England organic dairies and yogurt makers for a number of reasons. We’ve been farming organically for 25 years and are always willing to share our knowledge and experience… We grow all the food our cows eat, including corn, oats, barley, soybeans, and alfalfa. All of our cows were born here on the farm. We have a closed herd, which means we don’t buy cows from other farms. Since 1975, during our first days as homesteaders with just a family cow, we have made our yogurt right here on the farm. We use only our own milk to produce this delicious yogurt. Our soils are sweet and mineralized. The extra special “nutty” flavor of our whole yogurt begins with the land we farm.” Butterworks Farm products can be found at co-ops, health food stores, smaller grocery markets and a few chain stores near their farm location in Vermont and neighboring New Hampshire. Black River Produce of Springfield, Vermont does some Vermont distribution for us as well. Some of their products are sold to and distributed around the Northeast by UNFI (United Natural Foods). Also find them in most Whole Foods Markets in the North Atlantic region. This farm is certified by theReal Organic Project: |Butterworks Farm^_
5|1550|Fluid milk, ice cream|New England|NULL|NULL|NULL|NULL|NULL|Kiss the Cow Farm is an organic, grass based, A2 dairy selling ice cream as well as raw and pasteurized milk from our herd of Jersey and Normande cows. We also grow vegetables, and raise pastured eggs and chickens. We sell our products through a farm store, seasonal CSAs, weekly farmers’ markets and area co-ops. This farm is certified by theReal Organic Project: |Kiss the Cow Dairy^_
5|1545|Cheese, kefir, yogurt, goat milk products|ME|NULL|NULL|NULL|NULL|NULL|Please read our Farmer Spotlight post onTide Mill Creamery!|Tide Mill Creamery (Tide Mill Organic Farm)^_
