StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1705|NULL|NY|NULL|NULL|NULL|NULL|NULL|Eight Mile Creek Farm sells their eggs on-farm and through CSA shares. For more information on Eight Mile Creek Farm, see ourfarmer spotlight.|Eight Mile Creek Farm^_
5|1675|NULL|OR|NULL|NULL|NULL|NULL|NULL|This brand sells Muscovy duck eggs. They write: “Our farm is 67 acres in total; we cultivate about 4 acres per year for market vegetables and we installed a high tunnel in 2020, allowing us to grow through all seasons! In addition to our fruit orchard, we have raspberries, and harvest wild blackberries; all of which provide excellent ingredients for delicious jams, fruit butter, and sauces.  About 20 acres of the farm is organic pasture, and about 20 acres is transitional organic. The remainder of the farm is forested watershed and wetlands with a seasonal stream and pond.” This farm is certified by the Real Organic Project.|Sublime Organics^_
5|1670|NULL|CA|NULL|NULL|NULL|NULL|NULL|You can find this brand’s products at local stores, farm stores, and local Whole Foods in San Diego & Orange County, CA. For more information on Happy Hens Truly Outdoors, see ourfarmer spotlight.|Happy Hens Truly Outdoors^_
5|1670|NULL|NY|NULL|NULL|NULL|NULL|NULL|Kingbird Farm is a model diverse organic family farm in upstate New York with a flock of 300 laying hens on rotated pasture. Their eggs are available year-round at Greenstar Cooperative Market in Ithaca, NY. They write: “We are a diverse small farm located just south of Ithaca New York. We offer a wide variety of organic poultry, meats, vegetables, and herbs that are certified organic by NOFA-NY Certified Organic LLC. Our farming methods are based on a belief in the sustainability of diversified, small family farms managed with a respect for the land and the animals we raise on it. Our land has been certified organic for twelve years and we manage our land with crop rotation, cover crops, compost, and rotational grazing.” This farm is certified by the Real Organic Project.|Kingbird Farm^_
5|1660|NULL|NE|NULL|NULL|NULL|NULL|NULL|Common Good Farm’s eggs can be purchased on-farm by appointment and in three markets in Lincoln, NE.|Common Good Farm^_
5|1635|NULL|OR|NULL|NULL|NULL|NULL|NULL|Deck Family Farms sells their eggs locally and through their CSA in Junction City, OR.|Deck Family Farm^_
5|1635|NULL|WA|NULL|NULL|NULL|NULL|NULL|They write: “Misty Meadows Farm is a small family farm wanting to raise the very best food we can for our own table and for our friends and neighbors. We are certified organic and seek in all ways to treat the land and the animals in ways that are respectful, healthy and sustainable. We began in 2005 with three pet hens and now have a flock of over 750 laying hens. Our eggs can be found at locally owned grocery stores and restaurants throughout Bellingham, WA.” “All of our poultry are pasture raised. Our birds have continuous access to grass and fresh air. We rotate the birds around our 18 acre property providing a year-round supply of fresh pasture. Our birds have open air coops that protect them from severe weather, but they are never confined. In 2007, our eggs were tested by a nutritional testing lab as part of a nationwide study sponsored by Mother Earth News magazine. Misty Meadows Farm eggs had three times the vitamin E, four times the heart healthy Omega 3s, a third less cholesterol, and a third less saturated fat than eggs from factory farmed birds.”|Misty Meadows Farms^_
5|1635|NULL|WA|NULL|NULL|NULL|NULL|NULL|Skokomish Valley Farms is a collection of neighbors who come from diverse backgrounds. While we all have different reasons for being a part of the farm, we share a common love for the land and a strong desire to create a farm that provides delicious, wholesome food for ourselves and our community. This farm is certified by the Real Organic Project.|Skokomish Valley Farms^_
5|1630|NULL|MD, VA, DC|NULL|NULL|NULL|NULL|NULL|NOTE: Limited distribution as of July 2023 due to production difficulties, contact farm for more information. They write: “Since 1979, we have been committed to constant improvement in our organic farming methods and to a strong relationship with our customers in Maryland, Pennsylvania, Virginia, Washington, DC, and West Virginia. We aim to minimize off-farm inputs through our diversified and integrated farming system, which combines animals under management intensive grazing and an 8-12 year crop rotation to raise vegetables, hay, pastures, grains, seed and livestock. Our practices are designed to constantly improve the quality of our soilsãwhich for us is the basis of our organic farming system.” “We grow our own grain and grind our own organic poultry feed from organic grain we grow and occasionally buy from other local organic farms. Our poultry receive this certified organic feed and graze on our organic pastures. We also sell our certified organic poultry feed to other organic farmers and to customers for their personal flocks.” This farm is certified by the Real Organic Project.|Nick's Organic Farm^_
5|1620|NULL|CA|NULL|NULL|NULL|NULL|NULL|Together with their children and grandchildren, Ward and Rosie produce USDA certified organic almonds, beef, eggs, olives, walnuts, and milk in California’s Central San Joaquin Valley. ReadCornucopia’s storyhighlighting their legacy in organic dairy. This farm’s eggs are available for on-farm pickup only.|Burroughs Family Farms^_
