StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1850|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|WestSoy, Organic, Unsweetened^_
5|1850|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Malk Almond, Organic, Unsweetened^_
5|1850|NULL|NULL|Yes|Oat|NULL|NULL|NULL|NULL|Malk Oat, Organic, Unsweetened^_
5|1850|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Three Trees Almond, Organic, Original^_
5|1850|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|Tofu Shop Soy, Organic Unflavored^_
5|1850|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|New Barn Almond, Organic, Unsweetened^_
5|1850|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|EdenSoy, Organic, Unsweetened^_
5|1850|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Malk Almond, Organic, Unsweetened Vanilla^_
5|1850|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Beber Almond, Unsweetened^_
5|1770|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|Trader Joe's Soymilk, Organic, Unsweetened^_
5|1740|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|Pacific Foods Soy, Organic, Unsweetened^_
5|1600|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|EdenSoy, Organic, Vanilla Extra^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Three Trees Almond, Organic, Vanilla^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Three Trees Almond, Organic, Black Sesame^_
5|1600|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|EdenSoy, Organic, Carob^_
5|1600|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|WestSoy, Organic, Original^_
5|1600|NULL|NULL|Yes|Pistachio/Almond|NULL|NULL|NULL|NULL|Three Trees Pistachio, Organic, Unsweetened^_
5|1600|NULL|NULL|Yes|Blend|NULL|NULL|NULL|NULL|Three Trees Oat, Organic, Oat and Seed^_
5|1600|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|Forager Project Soy, Organic, Unsweetened^_
5|1600|NULL|NULL|Yes|Oat|NULL|NULL|NULL|NULL|Willa's Oat, Organic Original^_
5|1600|NULL|NULL|Yes|Soy|NULL|NULL|NULL|NULL|EdenSoy, Organic, Vanilla^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|New Barn Almond, Organic, Unsweetened Vanilla^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Malk Oat, Organic, Vanilla^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Beber Almond, Vanilla^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Beber Almond, Strawberry^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Beber Almond, Lavender^_
5|1600|NULL|NULL|Yes|Almond|NULL|NULL|NULL|NULL|Beber Almond, Chocolate^_
5|1600|NULL|NULL|Yes|Oat|NULL|NULL|NULL|NULL|Malk Oat, Organic, Chocolate^_
5|1600|NULL|NULL|Yes|Oat|NULL|NULL|NULL|NULL|Kiki Oat, Organic, Chocolate^_
