StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1795|Chicken, turkey|New York|NULL|NULL|NULL|NULL|NULL|They say about their farm: “Eight Mile Creek Farm believes that through diversification of both plant and animal species, we have created, and continue to improve on, a sustainable system that works to produce healthy food for our community, and that leaves our environment in a better state of health. Poultry is an integral part of our operation. The chickens rotate through the fields with the cows and horses and through the vegetable fields post harvest. They pick up insects, provide fertilizer and produce healthy food for people. Although they rely on us, we rely on them as well: as an important contributor to our regenerative farm.” This farm is certified by theReal Organic Project: |Eight Mile Creek Farm^_
5|1755|Chicken, turkey|On farm, Massachusetts|NULL|NULL|NULL|NULL|NULL|This farm is certified by theReal Organic Project: |Many Hands Organic Farm^_
5|1730|Chicken, turkey|Maryland|NULL|NULL|NULL|NULL|NULL|This farm is certified by theReal Organic Project: |Nick's Organic Farm^_
5|1710|Chicken, turkey|Northeast, home delivery|NULL|NULL|NULL|NULL|NULL|Wrong Direction Farm is a small farm in the Mohawk Valley of Upstate New York.  The Perozzi family has been raising pastured chickens since 2011.  We believe that chickens thrive best when they are raised in an outdoor environment with bugs to chase, fresh air to breathe, and grass to roam in.  Our chickens are constantly on the move to fresh pastures to ensure the best nutrition for the chickens.  And of course, healthy chickens make better food for people, so you can be confident in the food you are serving.  Available for home delivery throughout the Northeast.|Wrong Direction Farm^_
5|1695|Chicken, turkey|Northern CA|NULL|NULL|NULL|NULL|NULL|Rockside Ranch is tucked between the Marble Mountains and Trinity Alps of far Northern California. Roughly two miles outside the small town of Etna, the ranch is on 100 acres of woodland and pasture—the ideal setting for students to retreat from the distractions of a modern world and step into a rugged experience in nature. Farm life is central to the program. The daily rhythms of the farm foster responsibility and compassion. Students experience a rare physical connection to life and land that is both deeply challenging and highly redemptive. Students take part in growing and raising their own food, cutting and burning their own heat, and identifying and solving a host of problems that come with living so close to the land and to one another. For more information on Rockside Ranch, see ourfarmer spotlight.|Rockside Ranch^_
5|1670|Chicken|Vermont|NULL|NULL|NULL|NULL|NULL|Full Moon Farm Inc. is a ROP (Real Organic Project) and VOF (Vermont Organic Farmers)-certified, successful, organic farm, run by us, the husband and wife team of David Zuckerman and Rachel Nevitt. In 1999, David started Full Moon Farm in Burlington’s Intervale, shortly before meeting his farming-loving, future wife, Rachel, who joined him in 2000. They outgrew the Intervale Center Farm Incubation program in 2008 and found new land, new opportunities and new dreams, down the road in Hinesburg. Located in Hinesburg since 2008, Full Moon Farm grows 25 acres of diversified organic vegetables and raises certified organic pigs, chickens, eggs, flowers and CBD, which we sell through our CSA and theBurlington Farmers Markets. We believe we are the only farm in Chittenden county who offers all these items grown or raised organically right here on our own farm. Now in our twenty-second year of farming together, our farm has continued to evolve with the changing times and needs of our customers. Farming with outbuildings and plenty of space in Hinesburg has allowed us to add animals: pigs, angora rabbits, laying hens, and meat birds to our operation. Our large barn lofts allow us to dry onions, garlic and CBD on a much larger scale. Our new pavilion provides space and scenery for pick-ups and on-farm events. Best of all, our big love of our community, helps us share the wealth of good food with our community. This farm is certified by theReal Organic Project: |Full Moon Farm^_
5|1620|Chicken|Texas, direct sale|NULL|NULL|NULL|NULL|NULL|NOTE: Cameron Molberg, Cornucopia’s Board chair is the CEO of this brand. This relationship did not affect our process in reviewing and investigating this brand. Greener Pasture’s says about their chicken: “Living an outdoor lifestyle, our chickens have full access to sunshine and fresh air, bugs and critters they find in the pasture, and native plants and grasses that stretch across their home pasture. Their diet is varied and nutrient-dense. Chickens raised on pasture still require additional feed to supplement their natural foraging, so we source only the freshest and highest-quality USDA Certified Organic feeds. Our organic regenerative farm integrates sustainable practices, encourages biodiversity, and builds healthy soils. Our style of farming is completely nature-driven.” This farm is certified by theReal Organic Project: |Greener Pastures Chicken^_
5|1580|Chicken, turkey|Southeastern PA|NULL|NULL|NULL|NULL|NULL|They say: “”We are the only Veteran Owned and operated Certified Organic pasture raised livestock farm in Bucks County. We offer a wide selection of pasture raised beef, Pastured Pork and certified Organic chicken and eggs. We now deliver and ship with our “Berger Box” subscription service if that is more convenient for you. You can also find our eggs at Kimberton Whole Foods (all locations), Poppy’s green grocer, and Gi-Juice.”|Hershberger Heritage Farm^_
4|1240|Chicken, processed meat|Nationwide|NULL|NULL|NULL|NULL|NULL|They say: “Bell & Evans’ World’s First Organic Certified, Animal-Welfare-Focused Hatchery where 100% of its broiler chickens hatch is a complete departure from traditional poultry hatcheries. The Hatchery is certified organic by Pennsylvania Certified Organic (PCO), a certification process that Bell & Evans helped to define because it did not previously exist. Here, they’ve replaced standard sanitation processes using harmful chemicals like formaldehyde with stringent biosecurity procedures and organic sanitation methods. Bell & Evans was the first chicken producer to remove the use of antibiotics from 100% of its production more than 20 years ago, but it’s worth noting again that no antibiotics are administered into the eggs or chicks. The most important difference of this Hatchery is that chicks enjoy U.S. grown organic feed, fresh water, and light as soon as they hatch from the egg. In traditional poultry practices, chicks are forced to wait until they’ve arrived at the farm to eat and drink—a process that can take up to three days and leave the chicks dehydrated and malnourished. Additionally, Bell & Evans invested in state-of-the-art chick trailers to transport chicks from the Hatchery to the farms in the same baskets as they hatched with access to the organic feed during the short drive. Bell & Evans also eliminated the traditional use of machinery handling of chicks at its Hatchery, such as belt drops, shell separators and chick counters. Bell & Evans’ Humane Animal Welfare Standards are the most comprehensive in the industry, beginning at hatch and continuing through the end of the life cycle, with a priority to minimize stress on the birds.”|Bell & Evans (Farmer's Pride)^_
4|1230|Chicken|East coast, midwest|NULL|NULL|NULL|NULL|NULL|Shenandoah Valley Organic (SVO) brands are supplied by a group of farmers that all use similar practices. Despite being a mid-sized brand, SVO was transparent with Cornucopia investigators. They feature their farmer suppliers in interviews that include photos, and are fairly transparent to the public about their housing and general management practices. Their website notes that: “Shenandoah Valley Organic Chicken is both Certified Organic and Certified Humane, and its unique Farm ID code allows consumers to see the actual farm and farmer that the package they are holding came from, and read about the farmer’s story. The four-letter code can simply be entered into the Farm ID field at svorganic.com and consumers are immediately connected with the source of their dinner.” Consumers can find SVO’s products at retailers in the east coast, eastern midwest; and also available through e-commerce (Butcher Box, Fresh Direct).|Farmer Focus (Shenandoah Valley Organic)^_
4|1175|Turkey|Nationwide|NULL|NULL|NULL|NULL|NULL|Diestel’s organic turkey is rated atGAP Step 3.They have other (non-organic) products that meet a higher standard for outdoor access that meets the criteria for Gap Step 5 (though this represents a fraction of their production), but without the benefits of organic certification. This brand also produces a majority of conventional “natural” products in addition to their organic line. They say about their brand: “Diestel Family Ranch was founded on health, happiness and the pursuit of flavor. Now in its fourth generation, we’ve done everything but compromise our values to thoughtfully raise and carefully craft premium, artisan-inspired turkey products worthy of America’s unyielding appetite for better, deliciously lean and clean protein. We were one of the first producers to offer certified Organic products and while we know it takes a little extra effort – it’s worth it to us to produce the best damn turkey you’ve ever tasted and a meal you can feel good sitting down to. Take a bite and you’ll see—it’s worth it to you, too! Also, clickHEREto watch our 3-min video, learn more about our farming philosophy and meet the whole Diestel Family.”|Diestel Turkey Ranch^_
4|1145|Chicken, processed meat, sausage|Nationwide|NULL|NULL|NULL|NULL|NULL|They write: “It’s Time To Re-Think Sausage: Put the old adages about “how the sausage gets made” out of your mind. Sausage can be healthier and still taste good. Ingredients can be something to show with pride. Bilinski’s is about sausage reimagined– made simply from whole ingredients, and responsibly raised chickens. These are sausages you can feel good about. Our Mission: Helping To BuildA Better World, From the Ground UpFor Animalsby supporting farmers that are raising the bar for animal welfare. For Our Futureby using ingredients that are raised and grown responsibly, with respect for the environment. For ChildrenBy making real food, in reasonable portions, that tastes great, while still being wholesome and nutritious. For CommunityBy working to end hunger at home, and to bring high-quality proteins to kids and families.”|Bilinski Sausage Manufacturing Co. (Schonwetter Enterprises)^_
4|1100|Chicken|Northeast|NULL|NULL|NULL|NULL|NULL|Wegman’s did not provide any information when requested, however they do publicly disclose that they source their organic chicken from Bell and Evans, a four-bird rated brand. They should be commended for their transparency.|Wegmans^_
4|1080|Chicken, turkey, duck|Nationwide|NULL|NULL|NULL|NULL|NULL|Mary’s Organic Chicken is a brand subsidiary of Pitman Family Farms.|Mary's Organic Chicken (Pitman Family Farms)^_
