StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Truvani, The Only Bar Oatmeal Chocolate Chip^_
5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Raw Crunch, Blueberry Lemon^_
5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Bearded Brothers, Choco Brownie Cruise Yumster Yo!^_
5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Skout, Peanut Butter^_
5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Bearded Brothers, Awesome Almond Butter Chocolate^_
5|1700|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Jonesbar, Dark Chocolate Almond^_
5|1600|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Once Upon a Farm, Apple Cinnamon Oat^_
5|1600|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Pure Bliss, Turmeric Lemon Orange^_
5|1600|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Tosi, Almond Blueberry^_
5|1550|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Kate's, Peanut Butter Milk Chocolate^_
5|1550|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Happy Kid, Blueberry and Raspberry^_
5|1550|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Perfect Bar, Peanut Butter^_
5|1550|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Rawr, Pumpkin and Pecan^_
5|1510|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Health Warrior, Pumpkin Seed, Honey Sea Salt^_
5|1500|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Corebar, Peanut Butter Chocolate^_
5|1500|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Universal Bakery, Organic Paleo Bars^_
5|1500|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Made Good, Vanilla Drizzled^_
5|1500|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|GoMacro, Sunflower Butter + Chocolate^_
5|1500|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Skout, Kids Blueberry Blast^_
5|1463|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Rise Pea Protein Bar, Lemon Cashew^_
5|1460|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Rise Whey Protein Bar, Almond Honey^_
5|1453|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Dr. Mercola's, Pure Power Protein with Peanut Butter and Chocolate^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|ProBar, Chocolate Coconut^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Annie's, Chewy Peanut Butter Chocolate Chip^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Cascadian Farm, Oats and Honey^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Whole Earth and Sea, Vegan Greens^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Dave's Killer Bread, Trail Mix Crumble^_
5|1450|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Aloha, Maple Sea Salt Protein^_
5|1413|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Betty Lou's, Just Great Stuff Cacao+Acai^_
5|1400|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Paleovalley, Apple Cinnamon Superfood^_
5|1400|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Tusol, Cacao and Goji Berry^_
5|1400|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Cerebelly, Apple Kale^_
5|1375|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Garden of Life Fit, Peanut Butter Chocolate^_
4|1358|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|NuGo, Organic Double Dark Chocolate^_
4|1350|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Bakery on Main, Soft and Chewy Oats & Honey^_
4|1300|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Orgain, Protein Chocolate Brownie^_
4|1103|NULL|NULL|Made with organic ingredients|NULL|NULL|NULL|NULL|NULL|Dr. Mercola, Pure Power Mitomix Blueberry Pecan^_
4|1100|NULL|NULL|Made with organic ingredients|NULL|NULL|NULL|NULL|NULL|GFB Bites, Dark Chocolate Coconut^_
4|1100|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Larabar, Chocolate Chip Brownie^_
4|1100|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Thunderbird, Chocolate Almond Butter Sea Salt^_
3|1000|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Larabar, Cinnamon Swirl Kids^_
3|1000|NULL|NULL|Made with organic ingredients|NULL|NULL|NULL|NULL|NULL|Raw Rev, Glo Creamy Peanut Butter and Sea Salt^_
3|950|NULL|NULL|Made with organic ingredients|NULL|NULL|NULL|NULL|NULL|Bobo's, Chocolate Chip Oat^_
3|871|NULL|NULL|Yes|NULL|NULL|NULL|NULL|NULL|Clif Kid, Zbar Protein Chocolate Mint^_
3|800|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Beautiful Day, Bourbon Pecan^_
3|800|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|RXBar, Vanilla Almond^_
3|800|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Rachel Paul's, Happy Bars, Oatmeal Raisin Bliss^_
3|800|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Julian Bakery, PaleoThin, Sunflower Butter^_
3|800|NULL|NULL|No|NULL|NULL|NULL|NULL|NULL|Amia, Cinnamon Baked Oat and Seed^_
3|771|NULL|NULL|Made with organic ingredients|NULL|NULL|NULL|NULL|NULL|Luna, LemonZest Equality^_
