StarRating|Score|Products|BrandMarketArea|Organic|PlantBased|ParentCompany|CompanyType|ParticipatedInSurvey|Description|BrandName
^_5|980|tempeh, miso, natto|Northeast|NULL|NULL|NULL|NULL|NULL|NULL|Rhapsody Natural Foods^_
5|955|soymilk, soybeans, tofu, miso, soy sauce, ponzu|Nationwide and International|NULL|NULL|NULL|NULL|NULL|Eden Foods readily shared contact information for the farmers who grow organic soybeans for their EdenSoy (soymilk) products. Based on our follow up research, we have no reason to question their claim that all soybeans used in their EdenSoy products come from American farmers with whom they have long-term and stable relationships. The farmers whom we contacted are dedicated to organic principles, and very much appreciate Eden Foods’ commitment to supporting their diverse organic farms. Eden Foods does carry four products that do not contain USA-grown soybeans; these are traditional Japanese specialty products, imported from Japan. The four products containing non-USA grown soybeans are: Natto Miso, freeze-dried tofu, Tekka sauce and Ponzu sauce. We appreciate Eden Foods’ honesty in sharing with us that these four products contain soybeans that are not USA-grown. Eden Foods rates very highly because, in addition to sourcing only USA-grown soybeans for their soymilk, they test every incoming load of soybeans for GMO contamination and use only pure food ingredients for flavoring (e.g. using real vanilla extract instead of natural flavors). Note: consumers may wonder why Eden Foods products do not carry the green USDA Organic seal. Eden Foods explains: “Although all EDEN organic food is grown, handled, processed, and certified in a way that meets and exceeds the requirements for using the ‘USDA Organic’ seal, Eden chooses not to use this seal on its food labels. In short, this seal does not approach Eden’s standards for organic, in practice or in spirit.” Eden Foods writes: “We are an independent natural food company offering authentic organic family farm food since 1968. Dedicated farmers nurture more than 75,000 acres. Each food is prepared as if for our children, with no irradiation, no preservatives, no chemical additives, no food colorings, no refined sugars, and no genetically engineered ingredients – just the best that can be found. EDENSOY is 100 percent USA family farm organic soybeans and grain. We visit each farm, the fields, and families regularly. Ingenious tending over decades provides vital soil producing food that brims with energy, flavor, and vastly superior nutrition. Soy protein requires thorough cooking to transform it into easy to assimilate food. EDENSOY is made at our certified organic plant employing 240 continuous quality control checks and decades of research on how best to choose and prepare soybeans. From double reverse osmosis purified water, to a patented enzyme invalidator, to Swedish aseptic packaging, every step contributes to greater value. Only the finest food goes into EDENSOY, even the vanilla beans.“|Eden Foods^_
5|920|tofu, soymilk, noodles, burgers|Nationwide|NULL|NULL|NULL|NULL|NULL|Hodo Soy is an independent tofu maker on the West Coast.|Hodo^_
5|920|tofu, soy yogurt, tempeh|Middle TN and greater Nashville area|NULL|NULL|NULL|NULL|NULL|FarmSoy is an employee-owned business that handcrafts tofu, using organic soybeans bought directly from domestic family farmers. FarmSoy readily shared the names of the organic farmers who grow the organic soybeans used in their tofu and soy yogurt products. They write: “Farm Foods Company, FarmSoy Division, is a modern day version of the former Farm Soy Dairy, which originated in the early 1970’s as a means of diversifying the vegan diet of the Farm Community during its early communal period. After many changes and upgrades over the years, Farm Foods Company now supplies our locally sourced, organic, hand-made, soy products to you. Farm Foods creates small batches of hand made tofu, soy yogurt (Soygurt), and tempeh for customers who value high quality foods made mindfully of our role in sustainable agriculture and communities. We invite you to come visit The Farm in Summertown, TN and be sure to stop in and say hi!”|FarmSoy^_
5|920|tofu, meatless sausage|West|NULL|NULL|NULL|NULL|NULL|Unisoya is a Canadian tofu company owned and operated by two brothers who are organic farmers. The organic fields where the soybeans are grown are located right next to their tofu plant. Not all tofu made by Unisoya is certified organic; the non-organic soybeans are purchased from a neighboring farmer. Unisoya is available in eastern Canada, and a wonderful example of a brand connected directly to the land and the farmers who produce the food.|Unisoya^_
5|910|tofu, tempeh, soymilk, mushroom pate|Mid-Atlantic|NULL|NULL|NULL|NULL|NULL|Twin Oaks Community Foods is a worker-owned cooperative that produces tofu, tempeh and soymilk made with organic soybeans bought directly from a Virginia farm. They readily shared with us the name of the farm and we were able to confirm that they do indeed buy directly from this family farm in their home state. Twin Oaks Community Foods is a wonderful example of a brand connected directly to the hard-working farmers who produce food. They write: “Twin Oaks Community Foods is a worker-owned co-operative located on 400 acres in central Virginia. We have been in business producing quality Organic Extra-firm Tofu since 1991. Our co-operative began by providing easy-to-use meat alternatives to Charlottesville, Richmond and local vegetarian communities. Over the past decade, positive customer response has urged us to grow and we now provide organic soyfoods to an array of customers up and down the East Coast. We strive to provide premium soyfoods crafted using unbleached well water, organic non-GMO soybeans, and the highest quality organic herbs available. We play our part in supporting local agriculture by using only Virginia-grown soybeans, helping to reduce the use of fuel for transportation. The Twin Oaks Community Foods 30-person crew takes pride in making vegetarian products that are good for our families and yours.”|Twin Oaks^_
5|900|tofu, soymilk|West|NULL|NULL|NULL|NULL|NULL|Tofu Shop is an independently owned artisan soyfoods company based in California. They scored highly on all categories and go the extra mile in areas for which we didn’t even create a category. For example, the cocoa used to flavor their chocolate soymilk is fair-trade, and they make special efforts to reduce waste. Tofu Shop also sources exclusively North American grown soybeans. They write: “Tofu Shop Specialty Foods, Inc., has been making organic traditional-style tofu since 1977. We craft our tofu in small batches using open-kettle cooking and certified organic soybeans, and offer our customers a unique line of over two dozen tofu specialty products including smoked sticks, sausage patties, burgers, international-spiced slicers and spreads. Our products are available in Northern California and Southern Oregon. Tofu Shop is an organic processor certified by California Certified Organic Farmers. We are also leaders in waste reduction, having won the annual WRAP Award from the California Integrated Waste Management Board every year since 2002. We divert over 99% of our waste and put out one small garbage can per week. Tofu Shop also supports dozens of regional non-profit groups through donations for fundraisers.”|Tofu Shop^_
5|890|miso|Nationwide|NULL|NULL|NULL|NULL|NULL|Great Eastern Sun’s products are naturally fermented and unpasteurized, making them a great choice for consumers looking for traditional soy foods.Great Eastern Sun shared its sourcing information; they purchase American-grown organic soybeans directly from a family farm. They write: “In the rolling hills of western North Carolina, Great Eastern Sun and the American Miso Company continue a timeless centuries-old tradition of hand crafted miso, under the Miso Master brand. Miso Master Organic Miso is made using only the finest ingredients: Organic whole grains and beans, organic koji, pure Blue Ridge Mountain well water, and imported, traditionally processed, sun-dried sea salt. Gently aged, naturally fermented, and unpasteurized, it is a living food, rich in high quality soy protein, beneficial enzymes, and Lactobacillus bacteria. Compare Miso Master flavor to any of our competitor’ products and you’ll see what a difference our unrelenting commitment to quality makes. The American Miso Company is today the largest organic miso factory in the world under the leadership of Yoshihiro “Joe” Kato, miso master and master chef, who has been part of the team for almost 20 years. Pledge of Organic Purity: – No ingredients grown from genetically engineered or modified seed or spores. – No ingredients irradiated, extracted using chemical solvents, or processed using artificial preservatives, artificial flavorings, or artificial colorings. – All organic ingredients grown without chemical fertilizers, pesticides, herbicides, or fungicides. – Products are processed, packaged, and stored in certified organic facilities.”|Miso Master^_
5|890|tofu and tempeh|West|NULL|NULL|NULL|NULL|NULL|Surata is a small independent tofu maker on the West Coast.|Surata^_
5|885|"tofu, tempeh, sandwiches, tofu spreads, Tofu ""No Egg"" Salad"|East|NULL|NULL|NULL|NULL|NULL|Fresh Tofu buys USA-grown soybeans directly from organic farmers close to home. Although they carry some products that are not certified organic, they use organic soybeans in all their products. Fresh Tofu imports a high-quality, non-synthetic nigari coagulant from Japan. They also use tofu for their veggie burgers, which means they are one of the few companies offering veggie burgers that do not contain hexane-extracted soy protein. Fresh Tofu products are an excellent choice for consumers looking for vegetarian foods made with high-quality ingredients that are not chemically processed. Fresh Tofu writes: “The principle “Fresher is Better” has guided Fresh Tofu Inc. in supplying a regional marketplace with locally produced, artisan quality, Organic Tofu and Soyfood products since 1983. Hands-on techniques and quality ingredients have earned Fresh Tofu Inc. its gold standard reputation. Fresh Tofu Inc. has direct longstanding relationships with small organic farmers in the finger Lakes Region of N.Y. State. Organic Soybeans are grown in the fertile glacial soils of the region specially for Fresh Tofu Inc. Together with Natural Nigari coagulant imported from Japan, we are able to achieve the pure, subtly sweet flavor of our tofu.”|Fresh Tofu^_
5|850|Tofurky, tempeh, Tempeh Superburgers|Nationwide and Canada|NULL|NULL|NULL|NULL|NULL|Turtle Island Foods is an independently owned company driven by vegetarian values. “Tofurky” is a household name with vegetarians. Their products are guaranteed to be processed without the use of hexane, something which is rare with meat substitutes and veggie burgers. They readily shared their sourcing information with us. They do not purchase soybeans directly from North American family farmers, but specify to their soybean supplier that they will purchase only North American grown soybeans. They write: “Turtle Island Foods has been making tempeh and Tofurky products since 1980. Located in Hood River, Oregon, we are a family owned and operated company committed to bringing the best tasting, most healthy meat alternatives to the table. We use organic soybeans and organic tofu as a soy protein base for all our products. All our products are formulated to promote the health and vitality of both the consumer and the planet’s ecosystems. We make everything in small batches using only the finest ingredients and go the extra mile to maintain the taste and integrity of our products. Our products are vegan, kosher, packaged in recycled paperboard and cholesterol free. Turtle Island Foods has long been a proponent of a plant based diet. We actively work to help consumers reduce their meat consumption, and realize the environmental, health and ethical consequences for their dietary choices. Turtle Island Foods is an active partner with the Humane Society of the United States, and their logo appears on our entire line of vegetarian products.”|Tofurky^_
5|825|tofu|Nationwide and International|NULL|NULL|NULL|NULL|NULL|NULL|House Foods^_
4|780|tofu, tempeh|Kansas and Missouri|NULL|NULL|NULL|NULL|NULL|Central Soy is a small tofu and tempeh company in Kansas, and one of its partners is an organic farmer who grows most of the beans used in their tofu products. Additional soybeans are grown by farmers in Kansas and neighboring states that are part of the Kansas Organic Producers Association, an organic farmer marketing cooperative. Central Soy is not in the five-bean category because their tofu plant is not certified organic. Their products are labeled “made with organic soybeans,” and they use only certified organic ingredients. They state that they are not certified because of the expense involved in certification. They say that their products are all produced according to the organic standards.|Central Soyfoods^_
